lng,lat,streetname
149.1020789,-35.3571862, Fixed Speed Camera - Hindmarsh Dr; Canberra ACT; 1
151.043139,-31.0603899, Fixed Speed Camera - New England Hwy speed limit 100 km/h  100; 2
150.8606807,-31.4596725, Fixed Speed Camera - New England Hwy; speed limit 100 km/h  100; 3
149.8238857,-36.5747471, Fixed Speed Camera - Princes Hwy speed limit 100 km/h  100; 4
149.824917,-36.576215, Fixed Speed Camera Location - Princes Hwy 2  100; 5
150.9972647,-33.8492101, Speed Camera - 70Kph Oxford Woodville  70; 6
150.892374,-34.389672, Speed Camera - Balgownie Rd  50; 7
149.127076,-35.275495, Speed Camera - Barry Drv  60; 8
150.632569,-33.533609, Speed Camera - Bells Line Of Rd  60; 9
151.170631,-33.752099, Speed Camera - Birdwood Av  60; 10
151.326816,-33.491174, Speed Camera - Blackwall Rd  60; 11
151.10195,-33.803208, Speed Camera - Blaxland Rd  60; 12
150.605928,-34.85761, Speed Camera - Bolong Rd  60; 13
150.731486,-34.844873, Speed Camera - Bolong Rd2  90; 14
151.114663,-33.913884, Speed Camera - Canterbury Rd 1  60; 15
151.068095,-33.773782, Speed Camera - Carlingford Rd 6  60; 16
151.038899,-33.740054, Speed Camera - Castle Hill Rd  60; 17
151.157849,-33.812964, Speed Camera - Centennial Ave  60; 18
151.089804,-33.849219, Speed Camera - Concord Rd  60; 192392
150.855186,-33.902977, Speed Camera - Cowpasture Rd  70; 20
151.131362,-34.035811, Speed Camera - Cptn Cook Drive  70; 21
151.200995,-33.874144, Speed Camera - Cross City Tunnel 1  80; 22
151.203158,-33.87465, Speed Camera - Cross City Tunnel 2  80; 23
151.22515,-33.876494, Speed Camera - Cross City Tunnel 3  80; 24
142.15731,-34.189385, Speed Camera - Deaken Ave 1  60; 25
142.153618,-34.192392, Speed Camera - Deaken Ave 2  60; 26
151.145343,-33.795991, Speed Camera - Delhi Rd  60; 27
149.056386,-35.378502, Speed Camera - Drakeford Drv  80; 28
144.263343,-36.755573, Speed Camera - Eaglehawk Rd  60; 29
